result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,eiketsu_internal_ids,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
step174_7_306001,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0107|EIK_0036|EIK_0070|EIK_0045|EIK_0039|EIK_0291,井伊直虎|稲葉一鉄|前田利家(兎忍)|御子神典膳|十河一存|山県昌景,EIK_0107|EIK_0036|EIK_0070|EIK_0045|EIK_0039|EIK_0291,戦場の華|勇猛果敢|猛将の絆|武芸の絆|豪傑|もののふ|意気衝天,戦場の華|勇猛果敢|猛将の絆|武芸の絆|豪傑|もののふ|意気衝天,9236,3691,710,114,287,105,113,0,0,0,0,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0036|EIK_0039|EIK_0045|EIK_0070|EIK_0107|EIK_0291||もののふ|勇猛果敢|意気衝天|戦場の華|武芸の絆|猛将の絆|豪傑,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306002,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0107|EIK_0362|EIK_0070|EIK_0139|EIK_0039|EIK_0291,井伊直虎|可児才蔵|前田利家(兎忍)|足利義輝|十河一存|山県昌景,EIK_0107|EIK_0362|EIK_0070|EIK_0139|EIK_0039|EIK_0291,侍|戦場の華|猛将の絆|武芸の絆|豪傑|もののふ|意気衝天,侍|戦場の華|猛将の絆|武芸の絆|豪傑|もののふ|意気衝天,8935,4101,643,134,194,102,147,0,0,0,0,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0039|EIK_0070|EIK_0107|EIK_0139|EIK_0291|EIK_0362||もののふ|侍|意気衝天|戦場の華|武芸の絆|猛将の絆|豪傑,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306003,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0108|EIK_0093|EIK_0387|EIK_0020|EIK_0017|EIK_0312,名古屋山三郎|大内義隆|朝倉義景(八雷)|北条氏照(剛柔)|堀秀政|藤岡屋伝助,EIK_0108|EIK_0093|EIK_0387|EIK_0020|EIK_0017|EIK_0312,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|傾奇者|多芸多才,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|傾奇者|多芸多才,10191,0,143,108,526,382,447,626,607,607,619,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0017|EIK_0020|EIK_0093|EIK_0108|EIK_0312|EIK_0387||傾奇者|外交官の絆|多芸多才|山紫水明|技巧伝承|文化人の絆|文明開化,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306004,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0206|EIK_0384|EIK_0114|EIK_0093|EIK_0256|EIK_0107,おまつ(奇譚)|甲斐姫(鷹爪)|細川藤孝(立役)|大内義隆|魔女ルシア|井伊直虎,EIK_0206|EIK_0384|EIK_0114|EIK_0093|EIK_0256|EIK_0107,質実剛健|山紫水明|技巧伝承|文明開化|文化人の絆|戦場の華|女傑の絆,質実剛健|山紫水明|技巧伝承|文明開化|文化人の絆|戦場の華|女傑の絆,10637,0,206,147,319,323,653,470,493,522,486,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0093|EIK_0107|EIK_0114|EIK_0206|EIK_0256|EIK_0384||女傑の絆|山紫水明|戦場の華|技巧伝承|文化人の絆|文明開化|質実剛健,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306005,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0224|EIK_0183|EIK_0256|EIK_0197|EIK_0108|EIK_0229,黒猫ノア|宇佐美定満|魔女ルシア|足利義輝(野望)|名古屋山三郎|出雲阿国(神将),EIK_0224|EIK_0183|EIK_0256|EIK_0197|EIK_0108|EIK_0229,山紫水明|技巧伝承|竜飛鳳舞|流行創出|傾奇者|文明開化|洒落者の絆,山紫水明|技巧伝承|竜飛鳳舞|流行創出|傾奇者|文明開化|洒落者の絆,9683,918,195,38,203,476,344,660,578,548,613,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0108|EIK_0183|EIK_0197|EIK_0224|EIK_0229|EIK_0256||傾奇者|山紫水明|技巧伝承|文明開化|洒落者の絆|流行創出|竜飛鳳舞,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306006,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0247|EIK_0101|EIK_0103|EIK_0056|EIK_0308|EIK_0067,島左近|山県昌景(泰然)|長野業正|織田信忠|朝倉景鏡|鍋島直茂,EIK_0247|EIK_0101|EIK_0103|EIK_0056|EIK_0308|EIK_0067,侍|もののふ|根性の絆|泰然自若|老練闊達|柔能制剛|謀略家,侍|もののふ|根性の絆|泰然自若|老練闊達|柔能制剛|謀略家,9928,2121,321,388,151,309,119,225,226,233,235,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0056|EIK_0067|EIK_0101|EIK_0103|EIK_0247|EIK_0308||もののふ|侍|柔能制剛|根性の絆|泰然自若|老練闊達|謀略家,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306007,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0247|EIK_0103|EIK_0101|EIK_0128|EIK_0119|EIK_0234,島左近|長野業正|山県昌景(泰然)|浅井長政|上泉信綱|晶,EIK_0247|EIK_0103|EIK_0101|EIK_0128|EIK_0119|EIK_0234,侍|もののふ|根性の絆|泰然自若|武芸の絆|知勇兼備|豪傑,侍|もののふ|根性の絆|泰然自若|武芸の絆|知勇兼備|豪傑,9878,2000,596,463,246,54,171,199,204,210,235,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0101|EIK_0103|EIK_0119|EIK_0128|EIK_0234|EIK_0247||もののふ|侍|根性の絆|武芸の絆|泰然自若|知勇兼備|豪傑,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306008,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0256|EIK_0093|EIK_0387|EIK_0042|EIK_0224|EIK_0089,魔女ルシア|大内義隆|朝倉義景(八雷)|谷忠澄|黒猫ノア|村上義清,EIK_0256|EIK_0093|EIK_0387|EIK_0042|EIK_0224|EIK_0089,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|戦場の華|流行創出,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|戦場の華|流行創出,9670,947,72,0,415,380,502,573,580,544,573,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0042|EIK_0089|EIK_0093|EIK_0224|EIK_0256|EIK_0387||外交官の絆|山紫水明|戦場の華|技巧伝承|文化人の絆|文明開化|流行創出,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306009,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0256|EIK_0093|EIK_0387|EIK_0158|EIK_0224|EIK_0239,魔女ルシア|大内義隆|朝倉義景(八雷)|小西行長|黒猫ノア|真田幸村(水練),EIK_0256|EIK_0093|EIK_0387|EIK_0158|EIK_0224|EIK_0239,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|洒落者の絆|流行創出,山紫水明|技巧伝承|文化人の絆|文明開化|外交官の絆|洒落者の絆|流行創出,9500,953,0,0,385,299,500,672,686,612,649,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0093|EIK_0158|EIK_0224|EIK_0239|EIK_0256|EIK_0387||外交官の絆|山紫水明|技巧伝承|文化人の絆|文明開化|洒落者の絆|流行創出,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306010,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0256|EIK_0094|EIK_0387|EIK_0017|EIK_0166|EIK_0385,魔女ルシア|金森長近|朝倉義景(八雷)|堀秀政|太原雪斎|尼子晴久,EIK_0256|EIK_0094|EIK_0387|EIK_0017|EIK_0166|EIK_0385,山紫水明|文化人の絆|文明開化|技巧伝承|外交官の絆|能鷹隠爪|流行創出,山紫水明|文化人の絆|文明開化|技巧伝承|外交官の絆|能鷹隠爪|流行創出,9734,999,0,91,440,345,468,538,553,515,573,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0017|EIK_0094|EIK_0166|EIK_0256|EIK_0385|EIK_0387||外交官の絆|山紫水明|技巧伝承|文化人の絆|文明開化|流行創出|能鷹隠爪,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
step174_7_306011,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,EIK_0258|EIK_0092|EIK_0247|EIK_0101|EIK_0103|EIK_0040,明智光秀(闇)|細川忠興(山紫)|島左近|山県昌景(泰然)|長野業正|北条氏邦,EIK_0258|EIK_0092|EIK_0247|EIK_0101|EIK_0103|EIK_0040,鬼の絆|流行創出|侍|もののふ|根性の絆|泰然自若|勇猛果敢,鬼の絆|流行創出|侍|もののふ|根性の絆|泰然自若|勇猛果敢,9994,1397,561,509,166,67,124,341,376,369,352,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||7||EIK_0040|EIK_0092|EIK_0101|EIK_0103|EIK_0247|EIK_0258||もののふ|侍|勇猛果敢|根性の絆|泰然自若|流行創出|鬼の絆,,step174_validate_repair_7_9,14256,14256,jinpo_result_db_7_part018.csv
